OrderID;CustomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
10272;PICCO;3;02/08/1996 00:00:00;30/08/1996 00:00:00;06/08/1996 00:00:00;2;98,0300;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10273;FISSA;3;05/08/1996 00:00:00;02/09/1996 00:00:00;12/08/1996 00:00:00;3;76,0700;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10274;BLONP;1;06/08/1996 00:00:00;03/09/1996 00:00:00;16/08/1996 00:00:00;1;6,0100;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
10275;BLONP;3;07/08/1996 00:00:00;04/09/1996 00:00:00;09/08/1996 00:00:00;1;26,9300;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy
10276;BLONP;3;08/08/1996 00:00:00;22/08/1996 00:00:00;14/08/1996 00:00:00;3;13,8400;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10277;BLONP;3;09/08/1996 00:00:00;06/09/1996 00:00:00;13/08/1996 00:00:00;3;125,7700;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;04179;Germany
10278;BLONP;3;12/08/1996 00:00:00;09/09/1996 00:00:00;16/08/1996 00:00:00;2;92,6900;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
10279;BLONP;3;13/08/1996 00:00:00;10/09/1996 00:00:00;16/08/1996 00:00:00;2;25,8300;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
10280;BLONP;1;14/08/1996 00:00:00;11/09/1996 00:00:00;12/09/1996 00:00:00;1;8,9800;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
10281;BLONP;1;14/08/1996 00:00:00;28/08/1996 00:00:00;21/08/1996 00:00:00;1;2,9400;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
10282;BLONP;3;15/08/1996 00:00:00;12/09/1996 00:00:00;21/08/1996 00:00:00;1;12,6900;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
10283;BLONP;3;16/08/1996 00:00:00;13/09/1996 00:00:00;23/08/1996 00:00:00;3;84,8100;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10284;BLONP;3;19/08/1996 00:00:00;16/09/1996 00:00:00;27/08/1996 00:00:00;1;76,5600;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
10285;FISSA;3;20/08/1996 00:00:00;17/09/1996 00:00:00;26/08/1996 00:00:00;2;76,8300;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10286;FISSA;3;21/08/1996 00:00:00;18/09/1996 00:00:00;30/08/1996 00:00:00;3;229,2400;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10287;DRACD;3;22/08/1996 00:00:00;19/09/1996 00:00:00;28/08/1996 00:00:00;3;12,7600;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
10288;BLONP;1;23/08/1996 00:00:00;20/09/1996 00:00:00;03/09/1996 00:00:00;1;7,4500;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Italy
10289;BLONP;3;26/08/1996 00:00:00;23/09/1996 00:00:00;28/08/1996 00:00:00;3;22,7700;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;UK
10290;DRACD;3;27/08/1996 00:00:00;24/09/1996 00:00:00;03/09/1996 00:00:00;1;79,7000;Comércio Mineiro;Av. dos Lusíadas, 23;Sao Paulo;SP;05432-043;Brazil
10291;DRACD;1;27/08/1996 00:00:00;24/09/1996 00:00:00;04/09/1996 00:00:00;2;6,4000;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10292;DRACD;1;28/08/1996 00:00:00;25/09/1996 00:00:00;02/09/1996 00:00:00;2;1,3500;Tradiçao Hipermercados;Av. Inês de Castro, 414;Sao Paulo;SP;05634-030;Brazil
10293;BLONP;3;29/08/1996 00:00:00;26/09/1996 00:00:00;11/09/1996 00:00:00;3;21,1800;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10294;PICCO;3;30/08/1996 00:00:00;27/09/1996 00:00:00;05/09/1996 00:00:00;2;147,2600;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10295;BLONP;1;02/09/1996 00:00:00;30/09/1996 00:00:00;10/09/1996 00:00:00;2;1,1500;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
10296;ANTON;1;03/09/1996 00:00:00;01/10/1996 00:00:00;11/09/1996 00:00:00;1;0,1200;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10297;BLONP;1;04/09/1996 00:00:00;16/10/1996 00:00:00;10/09/1996 00:00:00;2;5,7400;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
10298;BLONP;3;05/09/1996 00:00:00;03/10/1996 00:00:00;11/09/1996 00:00:00;2;168,2200;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10299;DRACD;3;06/09/1996 00:00:00;04/10/1996 00:00:00;13/09/1996 00:00:00;2;29,7600;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
10300;BLONP;3;09/09/1996 00:00:00;07/10/1996 00:00:00;18/09/1996 00:00:00;2;17,6800;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy
10301;BLONP;3;09/09/1996 00:00:00;07/10/1996 00:00:00;17/09/1996 00:00:00;2;45,0800;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10302;BLONP;1;10/09/1996 00:00:00;08/10/1996 00:00:00;09/10/1996 00:00:00;2;6,2700;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium
10303;BLONP;3;11/09/1996 00:00:00;09/10/1996 00:00:00;18/09/1996 00:00:00;2;107,8300;Godos Cocina Típica;C/ Romero, 33;Sevilla;;41101;Spain
10304;BLONP;3;12/09/1996 00:00:00;10/10/1996 00:00:00;17/09/1996 00:00:00;2;63,7900;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10305;PICCO;3;13/09/1996 00:00:00;11/10/1996 00:00:00;09/10/1996 00:00:00;3;257,6200;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
10306;BLONP;1;16/09/1996 00:00:00;14/10/1996 00:00:00;23/09/1996 00:00:00;3;7,5600;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
10307;ANTON;1;17/09/1996 00:00:00;15/10/1996 00:00:00;25/09/1996 00:00:00;2;0,5600;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
10308;BLONP;1;18/09/1996 00:00:00;16/10/1996 00:00:00;24/09/1996 00:00:00;3;1,6100;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;;05021;Mexico
10309;BLONP;3;19/09/1996 00:00:00;17/10/1996 00:00:00;23/10/1996 00:00:00;1;47,3000;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10310;BLONP;3;20/09/1996 00:00:00;18/10/1996 00:00:00;27/09/1996 00:00:00;2;17,5200;The Big Cheese;89 Jefferson Way Suite 2;Portland;OR;97201;USA
10311;BLONP;3;20/09/1996 00:00:00;04/10/1996 00:00:00;26/09/1996 00:00:00;3;24,6900;Du monde entier;67, rue des Cinquante Otages;Nantes;;44000;France
10312;BLONP;3;23/09/1996 00:00:00;21/10/1996 00:00:00;03/10/1996 00:00:00;2;40,2600;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10313;FISSA;1;24/09/1996 00:00:00;22/10/1996 00:00:00;04/10/1996 00:00:00;2;1,9600;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10314;PICCO;3;25/09/1996 00:00:00;23/10/1996 00:00:00;04/10/1996 00:00:00;2;74,1600;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10315;BLONP;3;26/09/1996 00:00:00;24/10/1996 00:00:00;03/10/1996 00:00:00;2;41,7600;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
10316;PICCO;3;27/09/1996 00:00:00;25/10/1996 00:00:00;08/10/1996 00:00:00;3;150,1500;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10317;BLONP;3;30/09/1996 00:00:00;28/10/1996 00:00:00;10/10/1996 00:00:00;1;12,6900;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
10318;BLONP;1;01/10/1996 00:00:00;29/10/1996 00:00:00;04/10/1996 00:00:00;2;4,7300;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
10319;BLONP;3;02/10/1996 00:00:00;30/10/1996 00:00:00;11/10/1996 00:00:00;3;64,5000;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10320;BLONP;3;03/10/1996 00:00:00;17/10/1996 00:00:00;18/10/1996 00:00:00;3;34,5700;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10321;BLONP;1;03/10/1996 00:00:00;31/10/1996 00:00:00;11/10/1996 00:00:00;2;3,4300;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
10322;ANTON;1;04/10/1996 00:00:00;01/11/1996 00:00:00;23/10/1996 00:00:00;3;0,4000;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;Mexico
10323;BLONP;1;07/10/1996 00:00:00;04/11/1996 00:00:00;14/10/1996 00:00:00;1;4,8800;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Germany
10324;BLONP;3;08/10/1996 00:00:00;05/11/1996 00:00:00;10/10/1996 00:00:00;1;214,2700;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA
10325;BLONP;3;09/10/1996 00:00:00;23/10/1996 00:00:00;14/10/1996 00:00:00;3;64,8600;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Germany
10326;BLONP;3;10/10/1996 00:00:00;07/11/1996 00:00:00;14/10/1996 00:00:00;2;77,9200;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;;28023;Spain
10327;BLONP;3;11/10/1996 00:00:00;08/11/1996 00:00:00;14/10/1996 00:00:00;1;63,3600;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
10328;BLONP;3;14/10/1996 00:00:00;11/11/1996 00:00:00;17/10/1996 00:00:00;3;87,0300;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10329;BLONP;3;15/10/1996 00:00:00;26/11/1996 00:00:00;23/10/1996 00:00:00;2;191,6700;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10330;BLONP;3;16/10/1996 00:00:00;13/11/1996 00:00:00;28/10/1996 00:00:00;1;12,7500;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10331;BLONP;1;16/10/1996 00:00:00;27/11/1996 00:00:00;21/10/1996 00:00:00;1;10,1900;Bon app';12, rue des Bouchers;Marseille;;13008;France
10332;DRACD;3;17/10/1996 00:00:00;28/11/1996 00:00:00;21/10/1996 00:00:00;2;52,8400;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10333;BLONP;1;18/10/1996 00:00:00;15/11/1996 00:00:00;25/10/1996 00:00:00;3;0,5900;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10334;BLONP;1;21/10/1996 00:00:00;18/11/1996 00:00:00;28/10/1996 00:00:00;2;8,5600;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France
10335;BLONP;3;22/10/1996 00:00:00;19/11/1996 00:00:00;24/10/1996 00:00:00;2;42,1100;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10336;BLONP;3;23/10/1996 00:00:00;20/11/1996 00:00:00;25/10/1996 00:00:00;2;15,5100;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
10337;BLONP;3;24/10/1996 00:00:00;21/11/1996 00:00:00;29/10/1996 00:00:00;3;108,2600;Frankenversand;Berliner Platz 43;München;;80805;Germany
10338;PICCO;3;25/10/1996 00:00:00;22/11/1996 00:00:00;29/10/1996 00:00:00;3;84,2100;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
10339;DRACD;3;28/10/1996 00:00:00;25/11/1996 00:00:00;04/11/1996 00:00:00;2;15,6600;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10340;BLONP;3;29/10/1996 00:00:00;26/11/1996 00:00:00;08/11/1996 00:00:00;3;166,3100;Bon app';12, rue des Bouchers;Marseille;;13008;France
10341;BLONP;3;29/10/1996 00:00:00;26/11/1996 00:00:00;05/11/1996 00:00:00;3;26,7800;Simons bistro;Vinbæltet 34;Kobenhavn;;1734;Denmark
10342;BLONP;3;30/10/1996 00:00:00;13/11/1996 00:00:00;04/11/1996 00:00:00;2;54,8300;Frankenversand;Berliner Platz 43;München;;80805;Germany
10343;BLONP;3;31/10/1996 00:00:00;28/11/1996 00:00:00;06/11/1996 00:00:00;1;110,3700;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
10344;FISSA;3;01/11/1996 00:00:00;29/11/1996 00:00:00;05/11/1996 00:00:00;2;23,2900;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
10345;FISSA;3;04/11/1996 00:00:00;02/12/1996 00:00:00;11/11/1996 00:00:00;2;249,0600;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10346;PICCO;3;05/11/1996 00:00:00;17/12/1996 00:00:00;08/11/1996 00:00:00;3;142,0800;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10347;DRACD;1;06/11/1996 00:00:00;04/12/1996 00:00:00;08/11/1996 00:00:00;3;3,1000;Familia Arquibaldo;Rua Orós, 92;Sao Paulo;SP;05442-030;Brazil
10348;BLONP;1;07/11/1996 00:00:00;05/12/1996 00:00:00;15/11/1996 00:00:00;2;0,7800;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10349;BLONP;1;08/11/1996 00:00:00;06/12/1996 00:00:00;15/11/1996 00:00:00;1;8,6300;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10350;BLONP;3;11/11/1996 00:00:00;09/12/1996 00:00:00;03/12/1996 00:00:00;2;64,1900;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France
10351;BLONP;3;11/11/1996 00:00:00;09/12/1996 00:00:00;20/11/1996 00:00:00;1;162,3300;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10352;BLONP;1;12/11/1996 00:00:00;26/11/1996 00:00:00;18/11/1996 00:00:00;3;1,3000;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10353;BLONP;3;13/11/1996 00:00:00;11/12/1996 00:00:00;25/11/1996 00:00:00;3;360,6300;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Austria
10354;BLONP;3;14/11/1996 00:00:00;12/12/1996 00:00:00;20/11/1996 00:00:00;3;53,8000;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;Mexico
10355;BLONP;3;15/11/1996 00:00:00;13/12/1996 00:00:00;20/11/1996 00:00:00;1;41,9500;Around the Horn;Brook Farm Stratford St. Mary;Colchester;Essex;CO7 6JX;UK
10356;BLONP;3;18/11/1996 00:00:00;16/12/1996 00:00:00;27/11/1996 00:00:00;2;36,7100;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10357;BLONP;3;19/11/1996 00:00:00;17/12/1996 00:00:00;02/12/1996 00:00:00;3;34,8800;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10358;BLONP;3;20/11/1996 00:00:00;18/12/1996 00:00:00;27/11/1996 00:00:00;1;19,6400;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France
10359;BLONP;3;21/11/1996 00:00:00;19/12/1996 00:00:00;26/11/1996 00:00:00;3;288,4300;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;UK
10360;BLONP;3;22/11/1996 00:00:00;20/12/1996 00:00:00;02/12/1996 00:00:00;3;131,7000;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
10361;FISSA;3;22/11/1996 00:00:00;20/12/1996 00:00:00;03/12/1996 00:00:00;2;183,1700;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10362;BLONP;3;25/11/1996 00:00:00;23/12/1996 00:00:00;28/11/1996 00:00:00;1;96,0400;Bon app';12, rue des Bouchers;Marseille;;13008;France
10363;BLONP;3;26/11/1996 00:00:00;24/12/1996 00:00:00;04/12/1996 00:00:00;3;30,5400;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Germany
10364;BLONP;3;26/11/1996 00:00:00;07/01/1997 00:00:00;04/12/1996 00:00:00;1;71,9700;Eastern Connection;35 King George;London;;WX3 6FW;UK
10365;BLONP;3;27/11/1996 00:00:00;25/12/1996 00:00:00;02/12/1996 00:00:00;2;22,0000;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;Mexico
10366;BLONP;1;28/11/1996 00:00:00;09/01/1997 00:00:00;30/12/1996 00:00:00;2;10,1400;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;;8022;Spain
10367;BLONP;3;28/11/1996 00:00:00;26/12/1996 00:00:00;02/12/1996 00:00:00;3;13,5500;Vaffeljernet;Smagsloget 45;Århus;;8200;Denmark
10368;BLONP;3;29/11/1996 00:00:00;27/12/1996 00:00:00;02/12/1996 00:00:00;2;101,9500;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10369;BLONP;3;02/12/1996 00:00:00;30/12/1996 00:00:00;09/12/1996 00:00:00;2;195,6800;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10370;BLONP;1;03/12/1996 00:00:00;31/12/1996 00:00:00;27/12/1996 00:00:00;2;1,1700;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland
10371;ANTON;1;03/12/1996 00:00:00;31/12/1996 00:00:00;24/12/1996 00:00:00;1;0,4500;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France
10372;DRACD;3;04/12/1996 00:00:00;01/01/1997 00:00:00;09/12/1996 00:00:00;2;890,7800;Queen Cozinha;Alameda dos Canàrios, 891;Sao Paulo;SP;05487-020;Brazil
10373;BLONP;3;05/12/1996 00:00:00;02/01/1997 00:00:00;11/12/1996 00:00:00;3;124,1200;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10374;FISSA;1;05/12/1996 00:00:00;02/01/1997 00:00:00;09/12/1996 00:00:00;3;3,9400;Wolski Zajazd;ul. Filtrowa 68;Warszawa;;01-012;Poland
10375;BLONP;3;06/12/1996 00:00:00;03/01/1997 00:00:00;09/12/1996 00:00:00;2;20,1200;Hungry Coyote Import Store;City Center Plaza 516 Main St.;Elgin;OR;97827;USA
10376;DRACD;3;09/12/1996 00:00:00;06/01/1997 00:00:00;13/12/1996 00:00:00;2;20,3900;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10377;BLONP;3;09/12/1996 00:00:00;06/01/1997 00:00:00;13/12/1996 00:00:00;3;22,2100;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;UK
10378;BLONP;1;10/12/1996 00:00:00;07/01/1997 00:00:00;19/12/1996 00:00:00;3;5,4400;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
10379;DRACD;3;11/12/1996 00:00:00;08/01/1997 00:00:00;13/12/1996 00:00:00;1;45,0300;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10380;FISSA;3;12/12/1996 00:00:00;09/01/1997 00:00:00;16/01/1997 00:00:00;3;35,0300;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10381;BLONP;1;12/12/1996 00:00:00;09/01/1997 00:00:00;13/12/1996 00:00:00;3;7,9900;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10382;BLONP;3;13/12/1996 00:00:00;10/01/1997 00:00:00;16/12/1996 00:00:00;1;94,7700;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10383;BLONP;3;16/12/1996 00:00:00;13/01/1997 00:00:00;18/12/1996 00:00:00;3;34,2400;Around the Horn;Brook Farm Stratford St. Mary;Colchester;Essex;CO7 6JX;UK
10384;BLONP;3;16/12/1996 00:00:00;13/01/1997 00:00:00;20/12/1996 00:00:00;3;168,6400;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
10385;BLONP;3;17/12/1996 00:00:00;14/01/1997 00:00:00;23/12/1996 00:00:00;2;30,9600;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10386;DRACD;3;18/12/1996 00:00:00;01/01/1997 00:00:00;25/12/1996 00:00:00;3;13,9900;Familia Arquibaldo;Rua Orós, 92;Sao Paulo;SP;05442-030;Brazil
10387;BLONP;3;18/12/1996 00:00:00;15/01/1997 00:00:00;20/12/1996 00:00:00;2;93,6300;Santé Gourmet;Erling Skakkes gate 78;Stavern;;4110;Norway
10388;BLONP;3;19/12/1996 00:00:00;16/01/1997 00:00:00;20/12/1996 00:00:00;1;34,8600;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;UK
10389;BLONP;3;20/12/1996 00:00:00;17/01/1997 00:00:00;24/12/1996 00:00:00;2;47,4200;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canada
10390;BLONP;3;23/12/1996 00:00:00;20/01/1997 00:00:00;26/12/1996 00:00:00;1;126,3800;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10391;BLONP;1;23/12/1996 00:00:00;20/01/1997 00:00:00;31/12/1996 00:00:00;3;5,4500;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Germany
10392;BLONP;3;24/12/1996 00:00:00;21/01/1997 00:00:00;01/01/1997 00:00:00;3;122,4600;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Austria
10393;BLONP;3;25/12/1996 00:00:00;22/01/1997 00:00:00;03/01/1997 00:00:00;3;126,5600;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA
10394;BLONP;3;25/12/1996 00:00:00;22/01/1997 00:00:00;03/01/1997 00:00:00;3;30,3400;Hungry Coyote Import Store;City Center Plaza 516 Main St.;Elgin;OR;97827;USA
10395;BLONP;3;26/12/1996 00:00:00;23/01/1997 00:00:00;03/01/1997 00:00:00;1;184,4100;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
